"","Cntrl001ARM","Cntrl001PA","Cntrl002ARM","Cntrl002PA","Cntrl003ARM","Cntrl003PA","Cntrl004ARM","Cntrl004PA","Cntrl005ARM","Cntrl005PA","Cntrl007ARM","Cntrl007PA","Cntrl008ARM","Cntrl008PA","phvted1155ARM","phvted1155PA","phvted1163ARM","phvted1163PA","phvted1171ARM","phvted1171PA","phvted1173ARM","phvted1173PA","phvted1183ARM","phvted1183PA","phvted1192ARM","phvted1192PA","phvted1208ARM","phvted1208PA","phvted1210ARM","phvted1210PA","phvted1213ARM","phvted1213PA","phvted1216ARM","phvted1216PA","phvted1217ARM","phvted1217PA","phvted1220ARM","phvted1220PA","phvted1229ARM","phvted1229PA","phvted1232ARM","phvted1232PA","phvted1233ARM","phvted1233PA","phvted1234ARM","phvted1234PA","phvted1235ARM","phvted1235PA","phvted1236ARM","phvted1236PA","phvted1252ARM","phvted1252PA","phvted1253ARM","phvted1253PA","phvted1254ARM","phvted1254PA","phvted1262ARM","phvted1262PA","phvted1263ARM","phvted1263PA"
"RBCK1",613.374483101978,553.838718474218,644.426949087953,626.271242294821,642.402341857189,725.629342928746,556.706489345359,592.626098137514,771.597039077259,788.693760302685,674.219906124995,801.260024299578,445.063685006552,781.179951209121,453.430863334222,542.125339643852,458.064001134663,548.063491030251,464.844370432125,434.220301201197,608.524865712179,571.90664787152,595.493955437723,567.349507358589,721.086755419972,657.455078882642,472.814937973632,502.189953624599,532.931524606236,632.352288320312,606.785252688048,575.923413201147,646.875419470853,522.934228213767,703.795679283672,766.211354303101,690.181173132332,606.24539540129,533.18438169065,474.871595669491,503.96670229295,558.849965855001,598.305924261181,562.352858895007,495.271610996679,528.409084651966,543.308943795031,506.882230205128,441.254572816415,551.145444602679,579.695406131879,619.860103623912,672.782013124882,746.438423405639,535.541350905722,465.681675853503,614.081564957625,596.193501273713,494.099595872636,509.375360279256
"RBFOX1",0,12.2827135145492,0,3.27319464614018,0,2.04402631810915,10.7434585663139,0.962055354119342,1.66471853091102,1.94259546872582,1.08395483299838,2.25073040533589,0,16.5329090202988,21.4388115051641,10.6039186238406,3.10551865176043,15.6589568865786,7.13924801004971,8.39884528435585,4.17369592395185,1.19896571880822,13.8257303086702,11.8197814033039,1.17440839644947,18.7509469913053,10.2414788008729,12.0525588869904,3.4382679006854,7.22688329508928,12.4742930068027,10.1216768576651,4.72862148736003,13.761427058257,6.70991643384857,13.3186022731623,13.9229631467617,13.4507694700762,11.0244890951074,13.221482942074,7.84994863384658,9.36620054505588,7.02708300306757,20.5381044118177,14.204730716922,10.6651374883883,14.526977106819,1.96847468040826,3.57291152078069,8.00049838939372,13.4552125214363,23.6137182332919,7.02033404999876,1.00733930284162,9.19384293400381,6.27885405645173,15.4221397592098,15.7584185358691,4.30587883113408,6.88345081458454
"RBM12B",308.523692099199,244.537659971479,298.78923164498,271.675155629635,269.828188433289,376.100842532083,337.930605813148,281.882218756967,258.031372291208,220.484585700381,189.692095774717,317.352987152361,158.219570884682,270.726385207394,212.244233901125,255.819536800155,267.074604051397,239.489928853555,214.970690080386,218.369977393252,235.396450110884,191.834515009315,258.738667205113,231.849558295577,244.276946461489,226.18329808262,279.080297323787,289.261413287769,250.133989774863,206.869534321931,209.389918328475,225.713393925933,215.625139823618,275.22854116514,228.137158750851,234.250710569148,199.893970892794,189.271541828929,215.478650495282,223.663419770085,254.338335736629,257.050170514311,306.180045133658,247.435257913803,184.661499319986,194.881148651459,282.791821012743,234.248486968584,234.025704611135,227.569731964977,253.40650248705,245.414000210283,189.549019349967,194.416485448432,239.039916284099,244.875308201617,185.065677110517,145.765371456789,219.599820387838,216.828700659413
"RBM17",1268.98732881278,1232.73779273294,774.561631860157,824.845050827326,893.025677021204,1046.54147487188,1054.81229560173,912.990531059255,1026.29897430664,997.522773190711,676.387815790992,890.163875310346,1011.92229148548,897.943621164981,1048.35788260253,1167.75653845045,957.276124405151,925.720686530089,1193.84091723609,1175.83833980982,1159.45272767382,1269.7046962179,1078.40696407627,1037.41312162844,906.643282058988,990.284387978311,1038.65664172186,998.755379768602,1113.1392328469,1159.91476886183,1070.11613579786,1172.09018011762,677.138596989957,908.254185844963,1002.01418745472,977.74209628862,1165.55091485748,1155.80540517869,1280.84518759521,1116.11351836008,1034.62322994098,1093.76408587264,1149.43000550177,1146.22182717382,988.649257897769,1101.41783516446,1009.14067635369,1134.82565325536,1103.13643204104,1046.2874004796,1049.50657667203,994.30620703754,1223.87823604978,1246.07871761508,1191.75189032024,1247.39900588174,1418.8368578473,1435.32928830874,1078.62264719909,1043.99004021199
"RBM33",1538.02733412547,1677.14869989572,1170.17106748766,1542.76574321407,1511.4219522918,1461.47881744804,1767.78727318438,1590.27750035927,1426.66378099075,1599.72736849572,1413.47710222989,1485.48206752169,1180.38629501738,1338.13232383044,1637.92519899454,1529.61526148901,1532.57345464377,1424.96507667865,1779.25925406017,1552.10660854896,1908.21377643078,1901.55963002983,1697.60217147172,1778.42249422019,1821.50742289312,1633.67625661747,1523.41997162984,1683.34072454965,1880.73254167491,1974.74586038315,1631.45932110399,1908.94825535565,1395.88906306868,1706.41695522387,1618.58095309836,1453.29454215977,1578.26732242221,1534.34848883655,1699.77577320929,1900.58817292314,1572.34471135947,1577.68444736719,1697.54247974104,1580.45603473797,1943.20716207493,1763.62591739803,1485.62552545736,1391.71159904864,1790.02867191113,1748.55337021527,1653.86987242654,1718.74134855174,2124.82110579963,2074.11162455089,1935.3039376078,1955.86303858471,1957.20973671426,2095.86966527058,1831.07497293977,1782.8137609774
"RBM39",4332.18684322625,4205.15446325384,3599.00478674807,3623.42647327718,3222.57437858404,3822.3292148641,4077.63086494188,3087.23563136897,3893.77664380088,4080.42178205859,3310.39805997707,3720.45736002023,3602.62548093539,3926.56589232098,4622.20776051339,4830.08493315941,4298.81419369937,4174.49368293966,4489.00049876348,4731.90943320608,4621.11612699948,4715.53217207272,4249.43696558627,4282.39772381242,3981.24446396369,3794.72289736541,4450.77599554602,4719.78206014543,4302.1327107326,4320.7728500515,4856.0640633625,4841.19804102124,2609.25333672527,4296.74095611271,4082.61137686164,3940.73937847096,4603.52831474001,4426.26392490292,3968.81607423867,3833.12826295629,4254.67215954485,4076.37861499821,4523.43371597464,4333.54003089353,6684.74627538348,5826.07374252048,4235.09805920796,4072.7741137647,4364.31142263361,4264.26564154686,4094.86967735711,4135.77407914512,4354.94722234923,4421.21220017186,4596.92146700191,4690.30398016944,7196.53121672943,6693.38827311038,5915.20104427045,4178.25464445282
"RBM42",509.615027128141,441.061076204267,626.728632230933,629.544436940962,644.322827184116,531.446842708378,434.621732909973,414.645857625436,559.345426386103,519.644287884158,466.100578189305,767.49906821954,566.858606478933,562.118906690161,489.876842893001,505.01162446041,468.156936752884,479.900972818086,463.257870874337,464.456144224878,510.025641906916,499.968704743027,513.527125750607,499.158460801066,485.030667733629,486.352687586981,461.72000260602,490.940898663408,550.982431084835,458.907089238169,485.60640633625,514.18118436939,478.536494520836,488.001374912037,483.859529507525,565.648873013128,453.490799637382,517.854624597933,483.07306762198,474.871595669491,489.836794752027,471.432094101146,504.946107220426,472.376401471806,427.088903555454,516.774389210088,483.264105086845,554.125622534926,411.778052769975,483.585680425576,500.085398713381,475.647752984879,512.48438564991,516.76506235775,535.541350905722,515.912508305117,619.689615779156,533.159827130236,484.411368502584,503.639151267102
"RBM47",2091.71717441064,1945.13517657679,1720.90104497962,2030.47174548896,1840.78518585984,1902.98850215961,2175.06202065283,1974.13758665289,2100.87478600971,2126.17074052041,2431.31069041538,2099.93146817839,2394.92069885878,2274.30829710486,2087.06830002773,2026.67394698154,1590.02554970134,1582.47576065542,1751.49551179886,1536.14880250868,1848.11255512588,1914.74825293672,2393.82644772975,2298.49287596556,2091.6213540765,1988.77231526532,2340.17790599946,2342.21394370513,1920.27262253279,1823.88467159816,2427.14101075219,2192.35520737027,1754.31857181057,2306.62688922631,2417.80655499677,2350.34157761687,2410.66161912503,2372.13927297272,2351.222856102,2139.67665612564,1868.28777485549,1872.19942006172,2241.63947797855,2217.13727150432,2643.97387744308,2534.42449042246,2562.55876164287,2512.75792954115,1923.11962606021,1854.33773780837,2651.79813443307,2676.78363115959,2444.24630507457,2791.33720817412,2223.76075966217,2180.8553089409,1319.29395576513,1418.25766822821,2804.20358877607,2176.31769921115
"RBMX",2590.31349824952,2262.25250731606,2036.34751601944,1757.70552497728,1928.16726823503,1744.57646250616,1913.31230285536,1816.36050857732,1714.66008683835,1701.71363060382,2151.65034350179,2117.93731142108,2097.8321520897,2341.47323999982,2192.11847640303,2360.69738363252,2458.79439253132,2533.06655518183,2259.17537029129,2160.18300713632,2641.94951986152,2516.62904377845,2459.00489061348,2215.75440614244,1830.90269006472,1910.25272473923,1965.51047320086,2033.66843619817,2500.48033077345,2267.43463383426,1847.08638593586,1920.08209989908,2512.78945838312,2405.07402125846,2025.64921675184,2105.12260635218,2162.03727721857,2116.57465304127,2270.04252731076,2407.41168570264,2324.36979048197,2259.33570925737,2092.06299691326,2136.94086380103,2410.06931163776,2312.39571907328,2528.66248172696,2349.37453106726,2276.8378666175,2474.82083511913,1990.25018546245,2084.75398116777,2378.72318727458,2551.59045409782,2065.16696905061,2169.34407650407,2375.0095229183,2380.83440046088,2314.40987173457,2324.31189172471
"RBMXL3",0,0,1.04107746217763,0,0,1.02201315905457,0,0,0,0,0,0,0,0,4.28776230103283,0,0,0.921115110975213,3.96624889447206,1.67976905687117,0.834739184790369,2.39793143761644,2.96265649471504,0,14.0929007573936,12.8912760565224,4.26728283369704,0,0,0,0.891020929057339,3.03650305729954,0.945724297472007,0,1.49109254085524,3.13378877015583,0.994497367625839,0.960769247862584,0,3.3053707355185,0.784994863384658,6.24413369670392,3.01160700131467,0,2.84094614338439,0,3.8738605618184,0.984237340204132,0,7.11155412390553,6.72760626071814,0,1.17005567499979,0,3.44769110025143,0,2.80402541076541,5.25280617862302,1.07646970778352,4.58896720972303
"RBX1",188.236181191475,122.827135145492,164.490239024066,117.835007261047,275.589644414071,135.927750154258,186.545507833269,171.245853033243,213.916331222066,180.661378591502,222.210740764669,225.073040533589,225.377518238612,147.762874368921,126.488987880468,152.431330217709,142.077478318039,175.01187108529,149.924208211044,121.78325662316,180.30366391472,148.671749132219,123.444020613127,167.295367554456,159.719541917127,222.66749552175,141.673790078742,167.932320492066,142.688117878444,140.020863842355,150.58253701069,220.6525554971,144.695817513217,166.195696011258,202.043039285885,191.944562172045,158.125081452508,180.624618598166,157.349526175624,121.196926969012,218.228572020935,137.370941327486,134.518446058722,155.502790546619,151.517127647168,147.372808930457,167.544469298646,135.82475294817,157.20810691435,100.450702000166,163.705085677475,147.585738958074,113.49540047498,145.056859609193,135.609183276556,171.622010876347,137.397245127505,130.00695292092,128.099895226239,143.405225303845
"RERE",773.145680796206,820.708584835787,870.340758380499,1128.16108803632,1280.00347039706,978.066593215226,822.362919348758,1003.42373434647,938.068892168361,955.756970613106,840.064995573748,806.886850312918,909.477965013388,842.145053221473,796.451847416848,820.478203519669,810.540368109471,666.887340346054,700.439554763766,660.989123878805,824.722314572885,776.929785787725,724.86328904028,741.918586545847,858.49253780456,856.68389066526,901.250134476815,903.138412598478,732.351062845989,841.028543466015,930.225849935862,890.707563474533,620.395139141636,754.761345579789,755.983918213606,828.887129706217,732.944559940243,769.57616753793,689.531681584901,674.295630045774,749.670094532348,764.90637784623,731.820501319465,610.275102522582,711.183517893893,732.016254884834,684.704854301402,640.73850847289,771.748888488629,768.047845381798,866.73993992252,716.0016707166,835.419751949853,953.950319791013,804.461256725334,658.233200251356,893.082093328783,656.600772327877,869.787523889085,729.645786345961
"RERG",0,3.34983095851342,0,3.27319464614018,0,0,0,2.88616606235802,0,0,1.08395483299838,0,0,0,0,6.62744913990039,0.776379662940106,0.921115110975213,3.96624889447206,0.839884528435584,5.00843510874222,5.99482859404109,0.987552164905013,2.72764186230091,9.39526717159573,23.4386837391316,0.853456566739409,0.803503925799358,4.29783487585675,1.80672082377232,0,2.02433537153303,10.4029672721921,1.05857131217362,0,0.783447192538958,3.97798947050335,0,4.00890512549361,0,2.35498459015397,18.7324010901118,0,0.978004971991317,3.78792819117919,2.90867386046954,5.8107908427276,3.93694936081653,2.67968364058552,1.77788853097638,6.72760626071814,0,2.34011134999959,1.00733930284162,1.14923036675048,7.32532973252702,0,2.62640308931151,3.22940912335056,3.44172540729227
