"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051146","GO:0051146","striated muscle cell differentiation","1/2","292/17073",0.0339145274569629,0.0405644348014654,NA,"SIK1",1
"GO:0006790","GO:0006790","sulfur compound metabolic process","1/2","300/17073",0.0348354584764219,0.0408646724434949,NA,"NFS1",1
"GO:0009416","GO:0009416","response to light stimulus","1/2","307/17073",0.0356409128758582,0.0410206733099501,NA,"SIK1",1
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","1/2","322/17073",0.0373657543979377,0.0419518642690658,NA,"SIK1",1
"GO:0019216","GO:0019216","regulation of lipid metabolic process","1/2","326/17073",0.0378254513901413,0.0419518642690658,NA,"SIK1",1
"GO:0046486","GO:0046486","glycerolipid metabolic process","1/2","378/17073",0.0437915215609515,0.047477481851437,NA,"SIK1",1
"GO:0010959","GO:0010959","regulation of metal ion transport","1/2","383/17073",0.0443642043529822,0.047477481851437,NA,"SIK1",1
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","1/2","395/17073",0.0457379431539664,0.048103698834344,NA,"SIK1",1
"GO:0042692","GO:0042692","muscle cell differentiation","1/2","402/17073",0.0465388344805928,0.0481164220901044,NA,"SIK1",1
"GO:0009314","GO:0009314","response to radiation","1/2","411/17073",0.0475680578535603,0.0483608588177863,NA,"SIK1",1
"GO:0060537","GO:0060537","muscle tissue development","1/2","425/17073",0.0491679672453443,0.0491679672453443,NA,"SIK1",1
