"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046460","GO:0046460","neutral lipid biosynthetic process","1/2","49/17073",0.00573198796655261,0.0190899094691837,NA,"SIK1",1
"GO:0046463","GO:0046463","acylglycerol biosynthetic process","1/2","49/17073",0.00573198796655261,0.0190899094691837,NA,"SIK1",1
"GO:0045912","GO:0045912","negative regulation of carbohydrate metabolic process","1/2","51/17073",0.00596559670911989,0.0190899094691837,NA,"SIK1",1
"GO:0051055","GO:0051055","negative regulation of lipid biosynthetic process","1/2","68/17073",0.00795016284611938,0.0238065769939462,NA,"SIK1",1
"GO:0006879","GO:0006879","intracellular iron ion homeostasis","1/2","70/17073",0.00818351084166902,0.0238065769939462,NA,"BOLA2",1
"GO:0002028","GO:0002028","regulation of sodium ion transport","1/2","84/17073",0.00981617829299208,0.0255568130379305,NA,"SIK1",1
"GO:0006094","GO:0006094","gluconeogenesis","1/2","85/17073",0.00993274593343096,0.0255568130379305,NA,"SIK1",1
"GO:0019319","GO:0019319","hexose biosynthetic process","1/2","88/17073",0.0102824076841653,0.0255568130379305,NA,"SIK1",1
"GO:0051153","GO:0051153","regulation of striated muscle cell differentiation","1/2","93/17073",0.0108650400334502,0.0255568130379305,NA,"SIK1",1
"GO:0010906","GO:0010906","regulation of glucose metabolic process","1/2","96/17073",0.011214537101858,0.0255568130379305,NA,"SIK1",1
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","1/2","97/17073",0.011331022401133,0.0255568130379305,NA,"SIK1",1
"GO:0043255","GO:0043255","regulation of carbohydrate biosynthetic process","1/2","100/17073",0.0116804371283773,0.0255568130379305,NA,"SIK1",1
"GO:0006641","GO:0006641","triglyceride metabolic process","1/2","103/17073",0.0120297900997488,0.0255568130379305,NA,"SIK1",1
"GO:0045833","GO:0045833","negative regulation of lipid metabolic process","1/2","106/17073",0.0123790813152476,0.0255568130379305,NA,"SIK1",1
"GO:0062014","GO:0062014","negative regulation of small molecule metabolic process","1/2","110/17073",0.012844706871222,0.0255880804648432,NA,"SIK1",1
"GO:0042752","GO:0042752","regulation of circadian rhythm","1/2","113/17073",0.0131938539896848,0.0255880804648432,NA,"SIK1",1
"GO:0014902","GO:0014902","myotube differentiation","1/2","119/17073",0.0138919629589924,0.026149577334574,NA,"SIK1",1
"GO:0055007","GO:0055007","cardiac muscle cell differentiation","1/2","129/17073",0.0150549289667485,0.0266442118308063,NA,"SIK1",1
"GO:0006639","GO:0006639","acylglycerol metabolic process","1/2","131/17073",0.0152874398271363,0.0266442118308063,NA,"SIK1",1
"GO:0006638","GO:0006638","neutral lipid metabolic process","1/2","132/17073",0.0154036849646849,0.0266442118308063,NA,"SIK1",1
"GO:0051147","GO:0051147","regulation of muscle cell differentiation","1/2","157/17073",0.0183075833302183,0.0300348945382611,NA,"SIK1",1
"GO:0043433","GO:0043433","negative regulation of DNA-binding transcription factor activity","1/2","160/17073",0.01865576294001,0.0300348945382611,NA,"SIK1",1
"GO:0035051","GO:0035051","cardiocyte differentiation","1/2","161/17073",0.0187718090864132,0.0300348945382611,NA,"SIK1",1
"GO:0006109","GO:0006109","regulation of carbohydrate metabolic process","1/2","179/17073",0.0208594663600943,0.0322541137463362,NA,"SIK1",1
"GO:0006006","GO:0006006","glucose metabolic process","1/2","186/17073",0.0216707326733196,0.0322541137463362,NA,"SIK1",1
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","1/2","186/17073",0.0216707326733196,0.0322541137463362,NA,"SIK1",1
"GO:0046777","GO:0046777","protein autophosphorylation","1/2","195/17073",0.0227132953147715,0.0330375204578495,NA,"SIK1",1
"GO:0007623","GO:0007623","circadian rhythm","1/2","200/17073",0.0232922566205181,0.0331267649714036,NA,"SIK1",1
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","1/2","209/17073",0.024333954679753,0.0338559369457433,NA,"SIK1",1
"GO:0019318","GO:0019318","hexose metabolic process","1/2","224/17073",0.0260688829943596,0.035498053439128,NA,"SIK1",1
"GO:0048738","GO:0048738","cardiac muscle tissue development","1/2","244/17073",0.0283797191298997,0.0366216342843575,NA,"SIK1",1
"GO:0045017","GO:0045017","glycerolipid biosynthetic process","1/2","245/17073",0.0284951888881593,0.0366216342843575,NA,"SIK1",1
"GO:0006814","GO:0006814","sodium ion transport","1/2","246/17073",0.0286106517846543,0.0366216342843575,NA,"SIK1",1
"GO:0005996","GO:0005996","monosaccharide metabolic process","1/2","252/17073",0.0293032850665903,0.0367727498874859,NA,"SIK1",1
"GO:0014706","GO:0014706","striated muscle tissue development","1/2","260/17073",0.0302264118504084,0.0372017376620411,NA,"SIK1",1
"GO:0048511","GO:0048511","rhythmic process","1/2","291/17073",0.0337993802015946,0.0401949955045486,NA,"SIK1",1
"GO:0051146","GO:0051146","striated muscle cell differentiation","1/2","292/17073",0.0339145274569629,0.0401949955045486,NA,"SIK1",1
"GO:0006790","GO:0006790","sulfur compound metabolic process","1/2","300/17073",0.0348354584764219,0.0405358062271091,NA,"BOLA2",1
"GO:0009416","GO:0009416","response to light stimulus","1/2","307/17073",0.0356409128758582,0.0407324718581237,NA,"SIK1",1
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","1/2","322/17073",0.0373657543979377,0.0417384291201559,NA,"SIK1",1
"GO:0019216","GO:0019216","regulation of lipid metabolic process","1/2","326/17073",0.0378254513901413,0.0417384291201559,NA,"SIK1",1
"GO:0046486","GO:0046486","glycerolipid metabolic process","1/2","378/17073",0.0437915215609515,0.0473218179765143,NA,"SIK1",1
"GO:0010959","GO:0010959","regulation of metal ion transport","1/2","383/17073",0.0443642043529822,0.0473218179765143,NA,"SIK1",1
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","1/2","395/17073",0.0457379431539664,0.0479873501943254,NA,"SIK1",1
"GO:0042692","GO:0042692","muscle cell differentiation","1/2","402/17073",0.0465388344805928,0.0480400872057732,NA,"SIK1",1
"GO:0009314","GO:0009314","response to radiation","1/2","411/17073",0.0475680578535603,0.0483231063909184,NA,"SIK1",1
"GO:0060537","GO:0060537","muscle tissue development","1/2","425/17073",0.0491679672453443,0.0491679672453443,NA,"SIK1",1
